DATE, VRN, TIME-IN, TIME-OUT
13/03/2022, XS21 SBG, 11:31:45, 13:15:01
02/04/2022, KS06 OOS, 10:25:21, 18:45:02
02/04/2022, AV12 ASW, 19:04:46, 19:05:17
02/04/2022, AQ12 TRE, 20:14:00, 20:14:10
16/04/2022, KV12 QWE, 20:40:45, 18:30:00
07/04/2022, QW12 QWE, 21:30:35, 21:31:28
14/03/2022, XS21 SBG, 11:31:45, 13:15:01
12/04/2022, MN98 GHJ, 20:41:05, 20:41:17
12/04/2022, XQ12 ASD, 18:41:02, 20:42:17
12/04/2022, UY12 ASD, 13:14:48, 21:35:19
12/04/2022, MN12 BVC, 21:33:22, 21:38:26
12/04/2022, LK19 UYT, 21:42:27, 21:44:24
19/04/2022, QW12 RET, 17:04:32, 17:06:16
19/04/2022, QW12 QWE, 17:27:03, 17:28:37
19/04/2022, QW12 POI, 17:32:23, 17:33:48
12/03/2022, XS21 SBG, 11:31:45, 13:15:01
12/03/2022, XS21 SBG, 11:31:45, 13:15:01
01/04/2022, AK12 ASD, 23:38:13, 23:38:20
01/04/2022, AL05 EBW, 11:04:05, 12:04:26
01/04/2022, AC12 AKC, 22:19:18, 23:00:00
01/04/2022, GD12 FDD, 10:21:10, 12:21:10
17/04/2022, XS21 SBG, 17:19:34, 17:19:59
15/03/2022, XS21 SBG, 11:31:45, 13:15:01
19/04/2022, CV12 TRE, 16:57:44,-
